DATE,EMPLOYMENT_RATE
1/1/04,81.2
2/1/04,81.3
3/1/04,81.4
4/1/04,81.5
5/1/04,81.5
6/1/04,81.5
7/1/04,81.4
8/1/04,81.3
9/1/04,81.2
10/1/04,81.3
11/1/04,81.2
12/1/04,81.3
1/1/05,81.4
2/1/05,81.4
3/1/05,81.4
4/1/05,81.3
5/1/05,81.1
6/1/05,81.3
7/1/05,81.2
8/1/05,81.2
9/1/05,81.3
10/1/05,81.4
11/1/05,81.5
12/1/05,81.4
1/1/06,81.3
2/1/06,81.3
3/1/06,81.3
4/1/06,81.6
5/1/06,81.9
6/1/06,81.6
7/1/06,81.7
8/1/06,81.7
9/1/06,81.7
10/1/06,81.7
11/1/06,81.6
12/1/06,81.9
1/1/07,82.2
2/1/07,82.1
3/1/07,82.2
4/1/07,82
5/1/07,82.1
6/1/07,82.2
7/1/07,82.3
8/1/07,82.1
9/1/07,82.3
10/1/07,82.4
11/1/07,82.4
12/1/07,82.3
1/1/08,82.3
2/1/08,82.5
3/1/08,82.4
4/1/08,82.4
5/1/08,82.5
6/1/08,82.4
7/1/08,82.2
8/1/08,82.3
9/1/08,82.2
10/1/08,82.4
11/1/08,81.9
12/1/08,81.7
1/1/09,81
2/1/09,80.8
3/1/09,80.6
4/1/09,80.4
5/1/09,80
6/1/09,80
7/1/09,80
8/1/09,80
9/1/09,80.2
10/1/09,80.1
11/1/09,80.4
12/1/09,80.2
1/1/10,80.4