DATE,GDP
1/1/04,392000000000
4/1/04,396000000000
7/1/04,401000000000
10/1/04,404000000000
1/1/05,405000000000
4/1/05,408000000000
7/1/05,413000000000
10/1/05,417000000000
1/1/06,421000000000
4/1/06,421000000000
7/1/06,422000000000
10/1/06,424000000000
1/1/07,426000000000
4/1/07,431000000000
7/1/07,432000000000
10/1/07,433000000000
1/1/08,433000000000
4/1/08,435000000000
7/1/08,438000000000
10/1/08,433000000000
1/1/09,423000000000
4/1/09,419000000000
7/1/09,421000000000
10/1/09,426000000000
1/1/10,431000000000